intent,response
greeting,"안녕하세요, 자동차 보험 비교·가입 도와드리는 차집사 다이렉트입니다. 잠시 통화 가능하실까요?"
greeting,안녕하세요! 차집사 다이렉트 차은하 팀장입니다. 빠르게 견적 안내 도와드릴까요?
greeting,안녕하세요~ 차집사 다이렉트입니다. 고객님 차량 보험 비교 견적 도와드리겠습니다.
about_company,저희는 인슈넷 FC 제휴사 ‘차집사 다이렉트’로 여러 보험사와 연계해 최적의 보험료를 찾아드립니다.
about_company,보험사 연도대상자 출신들로 팀을 재구성해 전문 상담으로 빠르게 진행해드립니다.
about_company,가입 후에는 AI ARS 1668-4007로 고객 보험사에 직접 연결해드리고 긴급출동 안내도 지원합니다.
fee_question,소개 수수료는 7%입니다. 지급은 익일 오후에 진행됩니다.
fee_question,"네, 기준 수수료는 7%이며 보통 익일 오후에 입금해드립니다."
fee_question,수수료는 건당 7%입니다. 자세한 조건은 문자로 안내드릴게요.
more_questions,"ARS 1668-4007로 가입 고객의 보험사에 직접 연결해드리고, 긴급출동 안내도 지원합니다."
more_questions,"견적은 보통 10분 내 안내드리며, 기존 보험과의 비교도 가능합니다."
more_questions,"전담 상담원이 끝까지 도와드리며, 필요 시 안내 문자를 함께 드립니다."
positive,감사합니다! 명함과 안내를 문자로 남겨드리겠습니다.
positive,좋습니다. 지금 바로 비교 견적 진행하고 결과 공유드리겠습니다.
positive,확인 감사합니다. 빠르게 진행 도와드릴게요.
rejection,알겠습니다. 필요하실 때 언제든 연락 주세요. 명함만 문자로 남겨드리겠습니다.
rejection,"네, 부담 없이 연락 주시면 도와드리겠습니다. 좋은 하루 보내세요."
rejection,확인했습니다. 불편 없도록 연락 자제하겠습니다.
other,비교만 한 번 받아보셔도 좋습니다. 수수료 7%와 높은 체결율이 강점입니다.
other,간단한 정보만 주시면 최적 조건을 빠르게 안내드릴 수 있습니다.
other,원하시면 견적만 받아보시고 결정하셔도 됩니다.
fallback,"죄송합니다, 제가 정확히 이해하지 못했어요. 한 번만 더 말씀해 주시겠어요?"
fallback,말씀 요지를 놓쳤습니다. 어떤 점이 궁금하신지 다시 알려주실 수 있을까요?
fallback,정확한 답변을 위해 한 번만 더 질문을 부탁드립니다.
