intent,response,context
greeting,"안녕하세요, 자동차 보험 비교·가입 도와드리는 차집사 다이렉트입니다. 잠시 통화 가능하실까요?",일반 오프닝
greeting,안녕하세요~ 차집사 다이렉트 상담원입니다. 빠르게 견적 안내 도와드려도 될까요?,부드러운 오프닝
greeting,안녕하세요. 차집사 다이렉트 차은하 팀장입니다. 간단히 안내 드리겠습니다.,격식 오프닝
about_company,저희 차집사는 인슈넷 FC 제휴사로 여러 보험사와 연계해 최적의 자동차보험료를 찾아드립니다.,회사 소개
about_company,차집사 다이렉트는 비교견적부터 가입까지 한 번에 도와드리는 서비스입니다.,서비스 소개
about_company,가입 후에는 AI ARS 1668-4007로 보험사 연결과 긴급출동 안내를 지원합니다.,차별점 강조
fee_question,소개 수수료는 7%이며 지급 시점은 익일 오후입니다. 원하시면 지금 비교 견적 접수해 드릴까요?,요약 응답
fee_question,"네, 수수료는 건당 7%입니다. 정산은 보통 익일 오후에 입금됩니다.",사실 전달
fee_question,"현재 조건은 7%이며, 지급은 익일 오후로 안내드립니다. 필요하시면 절차를 바로 도와드리겠습니다.",확인 및 제안
more_questions,ARS 1668-4007 번호로 가입 고객의 보험사에 직접 연결되며 긴급출동 안내도 가능합니다.,기능 안내
more_questions,견적은 보통 10분 내에 안내드리며 기존 보험과의 비교도 가능합니다.,절차 안내
more_questions,전담 상담원이 배정되어 청약까지 끝까지 도와드립니다. 필요한 서류는 문자로 안내드립니다.,프로세스 안내
positive,감사합니다. 바로 비교 견적 진행하고 결과를 문자로 공유드리겠습니다.,진행 확정
positive,좋습니다. 담당자로 연결해 빠르게 안내드리겠습니다.,연결/진행
positive,확인 감사합니다. 지금부터 절차 안내 도와드릴게요.,감사+진행
rejection,알겠습니다. 필요하실 때 언제든 연락 주세요. 명함만 문자로 남겨드리겠습니다.,부드러운 종료
rejection,"네, 이해했습니다. 편하신 시간에 다시 연락드려도 될까요?",재접촉 제안
rejection,불편 없도록 연락 자제하겠습니다. 문의 원하실 때 말씀만 주세요.,완곡한 종료
other,비교만 한 번 받아보셔도 좋습니다. 수수료 7%와 높은 체결율이 강점입니다.,부드러운 설득
other,간단한 정보만 주시면 최적 조건을 빠르게 안내해 드릴 수 있습니다.,행동 유도
other,원하시면 견적만 받아보시고 결정하셔도 됩니다.,부담 완화
fallback,죄송합니다. 제가 정확히 이해하지 못했어요. 한 번만 더 말씀해 주시겠어요?,재질문
fallback,정확한 안내를 위해 궁금하신 점을 조금만 더 구체적으로 알려주실 수 있을까요?,명확화 요청
fallback,핵심을 놓친 것 같아요. 어떤 부분이 가장 궁금하신가요?,핵심 재확인
